BRAND-NAME,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
1:1 Drops 12573,1.09,0,1.09,0,,,,,,,,,,,,,,,,,,1.09,,1.09,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,
1:1 Drops 13419,1.09,0,1.09,0,,,,,,,,,,,,,,,,,,1.09,,1.09,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,
1:1 Drops 14231,1.11,0,1.11,0,,,,,,,,,,,,,,,,,,1.11,,1.11,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,
1:1 Oral Spray 12590,2.75,0,2.75,0,,,,,,,,,,,,,,,,,,2.75,,2.75,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,
1:1 Oral Spray 13421,2.67,0,2.67,0,,,,,,,,,,,,,,,,,,2.67,,2.67,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,
1:1 Oral Spray 14078,2.62,0,2.62,0,,,,,,,,,,,,,,,,,,2.62,,2.62,,,,,,2.62,,,,,,,,,,,,,,,,,,,,,
1:1 Oral Syringe 13448,25.92,0,25.92,0,,,,,,,,,,,,,,,,,,25.92,,25.92,,,,,,25.92,,,,,,,,,,,,,,,,,,,,,
360X C356T376 7510,34.7,1.24,34.7,0.56,0.1,0.1,0.16,0.1,0.1,0.1,0.1,0.1,1.28,0.41,0.1,2.54,0.76,0.26,,,,34.7,,34.7,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,
360X C364T304 13630,32.24,0.06,32.24,0.1,0.1,0.1,0.21,0.1,0.1,0.1,0.1,0.14,0.46,0.66,0.1,0.1,4.5,0.1,0.1,0.1,0.1,32.24,0.1,32.24,0.1,0.1,0.1,0.1,0.1,32.24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
360X C389T465 11574,44.33,0.1,44.33,0.1,0.1,0.04,0.05,0.1,0.03,0.1,0.1,0.1,1.37,0.1,0.1,0.05,0.63,0.1,,,,44.33,,44.33,,,,,,44.33,,,,,,,,,,,,,,,,,,,,,
